training starts for entertainmentweekly 
startswithabang Test Perplexity : 10.834
teamcoco Test Perplexity : 11.648
deadpresidents Test Perplexity : 9.871
thoughtremixer Test Perplexity : 9.518
mepassistant Test Perplexity : 11.039
laliberty Test Perplexity : 9.641
mslovejoy Test Perplexity : 12.641
scullyseviltwin Test Perplexity : 10.707
sprousetwinsblog Test Perplexity : 10.178
allthingsgerman Test Perplexity : 19.801
langsandculture Test Perplexity : 10.869
ladypartsmag Test Perplexity : 17.251
youareinlove Test Perplexity : 10.990
grayflannelsuit Test Perplexity : 9.707
hydeordie Test Perplexity : 11.406
warsofasoiaf Test Perplexity : 10.107
clubsdeuce Test Perplexity : 11.744
chronicintrovert Test Perplexity : 13.824
viktorsyuuris Test Perplexity : 14.492
pseudophan Test Perplexity : 10.500
magnusbaene Test Perplexity : 23.188
fy-kihyun Test Perplexity : 13.714
lol-biscuit Test Perplexity : 13.099
------------ sagansense : sagansense --------------
training starts for collegehumor 
entertainmentweekly Test Perplexity : 12.932
truthdogg Test Perplexity : 12.318
rafi-dangelo Test Perplexity : 12.398
prochoiceamerica Test Perplexity : 12.641
bonniekristian Test Perplexity : 12.983
empowerwomyn Test Perplexity : 12.966
lolmythesis Test Perplexity : 13.858
theliberaltony Test Perplexity : 12.736
repmarktakano Test Perplexity : 30.461
fullmarx Test Perplexity : 12.621
keatonpatti Test Perplexity : 17.851
dailykos Test Perplexity : 16.455
animesocialistparty Test Perplexity : 13.568
sagansense Test Perplexity : 12.655
collegehumor Test Perplexity : 10.616
startswithabang Test Perplexity : 14.071
teamcoco Test Perplexity : 14.133
deadpresidents Test Perplexity : 12.657
thoughtremixer Test Perplexity : 12.009
mepassistant Test Perplexity : 13.550
laliberty Test Perplexity : 12.552
mslovejoy Test Perplexity : 13.080
scullyseviltwin Test Perplexity : 13.827
sprousetwinsblog Test Perplexity : 10.696
allthingsgerman Test Perplexity : 21.610
langsandculture Test Perplexity : 12.774
ladypartsmag Test Perplexity : 23.410
youareinlove Test Perplexity : 12.514
grayflannelsuit Test Perplexity : 11.642
hydeordie Test Perplexity : 13.236
warsofasoiaf Test Perplexity : 12.639
clubsdeuce Test Perplexity : 14.942
chronicintrovert Test Perplexity : 17.846
viktorsyuuris Test Perplexity : 14.445
pseudophan Test Perplexity : 12.955
magnusbaene Test Perplexity : 35.195
fy-kihyun Test Perplexity : 18.882
lol-biscuit Test Perplexity : 15.784
------------ collegehumor : collegehumor --------------
training starts for startswithabang 
entertainmentweekly Test Perplexity : 11.159
truthdogg Test Perplexity : 10.135
rafi-dangelo Test Perplexity : 10.545
prochoiceamerica Test Perplexity : 11.497
bonniekristian Test Perplexity : 11.040
empowerwomyn Test Perplexity : 11.360
lolmythesis Test Perplexity : 15.694
theliberaltony Test Perplexity : 10.168
