['juliadelg', 'http://juliadelg.tumblr.com', 'twitter.com/juliaadelg', '5']
['zquadlocks', 'http://zquadlocks.tumblr.com', 'twitter.com/zquadlocks', '10']
['scifiction', 'http://scifiction.tumblr.com', 'twitter.com/SciFiction', '6']
['xerenatta', 'http://xerenatta.tumblr.com', 'twitter.com/Xerenatta', '8']
['pyhforshinee', 'http://pyhforshinee.tumblr.com', 'twitter.com/pineeshinee05', '6']
['wdwben', 'http://wdwben.tumblr.com', 'twitter.com/wdw_ben', '3']
['seoulbigbang', 'http://seoulbigbang.tumblr.com', 'twitter.com/seoulbigbang', '12']
['aishakami-arts', 'http://aishakami-arts.tumblr.com', 'twitter.com/aishakami92', '9']
['eleanorcaldit', 'http://eleanorcaldit.tumblr.com', 'twitter.com/eleanorjcalder', '7']
['shaerahaek', 'http://shaerahaek.tumblr.com', 'twitter.com/shaerahaek', '10']
['thisisforthepixels', 'http://thisisforthepixels.tumblr.com', 'twitter.com/forthepixels', '12']
['intentionem', 'http://intentionem.tumblr.com', 'twitter.com/intentionem', '11']
['ryeinn', 'http://ryeinn.tumblr.com', 'twitter.com/notryein', '5']
['squigglydigglydoo', 'http://squigglydigglydoo.tumblr.com', 'twitter.com/SquigglyDigg', '7']
['s0md00d', 'http://s0md00d.tumblr.com', 'twitter.com/s0md00d', '7']
['solisev', 'http://solisev.tumblr.com', 'twitter.com/itsevelyncee', '3']
['khozen', 'http://khozen.tumblr.com', 'twitter.com/khozen_', '6']
['funke', 'http://funke.tumblr.com', 'twitter.com/funkegg', '5']
['hyadamsfoster', 'http://hyadamsfoster.tumblr.com', 'twitter.com/hyadamsfoster', '13']
['pollovy', 'http://pollovy.tumblr.com', 'twitter.com/pollovy', '7']
['ddlovatosstyle', 'http://ddlovatosstyle.tumblr.com', 'twitter.com/ddlovato', '8']
['dreamuchuu', 'http://dreamuchuu.tumblr.com', 'twitter.com/DreamCharmers', '4']
['phillp', 'http://phillp.tumblr.com', 'twitter.com/amazingphil', '4']
['unlikelyharmonygiver', 'http://unlikelyharmonygiver.tumblr.com', 'twitter.com/unlikelyharmony', '15']
['envyami', 'http://envyami.tumblr.com', 'twitter.com/EnvYami', '3']
['mikoto-yaa', 'http://mikoto-yaa.tumblr.com', 'twitter.com/mikotoru', '6']
['patientlights', 'http://patientlights.tumblr.com', 'twitter.com/patientlights', '13']
['optionallifex', 'http://optionallifex.tumblr.com', 'twitter.com/OptionalLife', '7']
['captain-flint', 'http://captain-flint.tumblr.com', 'twitter.com/silverflints', '5']
['tanassmiles', 'http://tanassmiles.tumblr.com', 'twitter.com/brinassmiles', '9']
['nipahdubs', 'http://nipahdubs.tumblr.com', 'twitter.com/NipahDUBS', '4']
