15 40 100 3
4-TrainLoss = 2.343, TrainAccr= 0.132, ValidLoss = 2.256, ValidAccr= 0.121
5-TrainLoss = 2.225, TrainAccr= 0.185, ValidLoss = 2.224, ValidAccr= 0.168
6-TrainLoss = 2.063, TrainAccr= 0.278, ValidLoss = 2.177, ValidAccr= 0.224
7-TrainLoss = 1.874, TrainAccr= 0.399, ValidLoss = 2.138, ValidAccr= 0.268
8-TrainLoss = 1.639, TrainAccr= 0.546, ValidLoss = 2.072, ValidAccr= 0.299
9-TrainLoss = 1.389, TrainAccr= 0.657, ValidLoss = 2.057, ValidAccr= 0.301
10-TrainLoss = 1.149, TrainAccr= 0.736, ValidLoss = 2.026, ValidAccr= 0.311
11-TrainLoss = 0.934, TrainAccr= 0.811, ValidLoss = 1.985, ValidAccr= 0.325
12-TrainLoss = 0.768, TrainAccr= 0.858, ValidLoss = 1.990, ValidAccr= 0.316
13-TrainLoss = 0.634, TrainAccr= 0.904, ValidLoss = 1.995, ValidAccr= 0.315
14-TrainLoss = 0.533, TrainAccr= 0.931, ValidLoss = 1.988, ValidAccr= 0.317
15-TrainLoss = 0.450, TrainAccr= 0.951, ValidLoss = 2.014, ValidAccr= 0.313
16-TrainLoss = 0.382, TrainAccr= 0.965, ValidLoss = 2.007, ValidAccr= 0.306
17-TrainLoss = 0.327, TrainAccr= 0.975, ValidLoss = 2.032, ValidAccr= 0.305
18-TrainLoss = 0.279, TrainAccr= 0.981, ValidLoss = 2.025, ValidAccr= 0.307
19-TrainLoss = 0.238, TrainAccr= 0.987, ValidLoss = 2.044, ValidAccr= 0.303
accr is 0.700 accr per post is 0.302
0-TrainLoss = 2.857, TrainAccr= 0.059, ValidLoss = 2.354, ValidAccr= 0.028
1-TrainLoss = 2.660, TrainAccr= 0.064, ValidLoss = 2.293, ValidAccr= 0.037
2-TrainLoss = 2.558, TrainAccr= 0.083, ValidLoss = 2.270, ValidAccr= 0.044
3-TrainLoss = 2.467, TrainAccr= 0.109, ValidLoss = 2.251, ValidAccr= 0.046
4-TrainLoss = 2.339, TrainAccr= 0.161, ValidLoss = 2.240, ValidAccr= 0.063
5-TrainLoss = 2.204, TrainAccr= 0.216, ValidLoss = 2.227, ValidAccr= 0.097
6-TrainLoss = 2.043, TrainAccr= 0.307, ValidLoss = 2.212, ValidAccr= 0.120
7-TrainLoss = 1.841, TrainAccr= 0.451, ValidLoss = 2.197, ValidAccr= 0.148
8-TrainLoss = 1.631, TrainAccr= 0.576, ValidLoss = 2.183, ValidAccr= 0.169
9-TrainLoss = 1.408, TrainAccr= 0.700, ValidLoss = 2.174, ValidAccr= 0.187
10-TrainLoss = 1.192, TrainAccr= 0.789, ValidLoss = 2.170, ValidAccr= 0.200
11-TrainLoss = 0.989, TrainAccr= 0.868, ValidLoss = 2.163, ValidAccr= 0.215
12-TrainLoss = 0.815, TrainAccr= 0.906, ValidLoss = 2.156, ValidAccr= 0.230
13-TrainLoss = 0.664, TrainAccr= 0.940, ValidLoss = 2.159, ValidAccr= 0.241
